team,total_games,avg_goal_scored,avg_goal_conceded,win_rate,draw_rate,home_goals_scored,home_goals_conceded,home_win_rate,away_goals_scored,away_goals_conceded,away_win_rate,fifa_rank,fifa_points
Canada,41,1.184,1.158,0.341,0.244,1.467,0.8,0.389,1.0,1.391,0.304,48.0,1461.74
Mexico,58,1.304,1.268,0.345,0.293,1.324,1.351,0.256,1.263,1.105,0.526,15.0,1652.33
United States,55,1.377,1.132,0.418,0.218,1.628,1.116,0.489,0.3,1.2,0.1,100.0,0.0
Australia,31,1.207,1.103,0.419,0.161,1.357,0.714,0.571,1.067,1.467,0.294,23.0,1571.29
Iraq,29,0.577,1.308,0.207,0.207,0.75,1.417,0.231,0.429,1.214,0.188,55.0,1433.07
Iran,26,1.217,1.13,0.346,0.269,1.077,0.846,0.357,1.4,1.5,0.333,100.0,0.0
Japan,39,1.639,0.917,0.487,0.179,1.957,1.0,0.542,1.077,0.769,0.4,17.0,1628.81
Jordan,34,1.065,1.71,0.294,0.147,1.077,1.538,0.267,1.056,1.833,0.316,68.0,1374.13
South Korea,36,1.5,1.412,0.417,0.25,1.765,1.471,0.529,1.235,1.353,0.316,100.0,0.0
Qatar,31,1.036,1.964,0.226,0.129,1.438,1.688,0.353,0.5,2.333,0.071,35.0,1504.06
Saudi Arabia,35,0.606,0.97,0.229,0.229,0.632,1.053,0.2,0.571,0.857,0.267,56.0,1431.3
Uzbekistan,24,1.0,1.409,0.125,0.375,1.0,1.0,0.182,1.0,1.75,0.077,62.0,1397.41
Algeria,20,1.706,1.059,0.4,0.35,1.571,0.857,0.25,1.8,1.2,0.5,44.0,1474.13
Cabo Verde,0,,,0.0,0.0,,,,,,,65.0,1380.53
Democratic Republic of Congo,0,,,0.0,0.0,,,,,,,100.0,0.0
Côte d'Ivoire,0,,,0.0,0.0,,,,,,,37.0,1499.69
Egypt,24,1.048,1.238,0.292,0.25,1.5,1.5,0.545,0.636,1.0,0.077,36.0,1502.34
Ghana,23,0.95,2.0,0.174,0.087,2.0,1.0,0.5,0.765,2.176,0.105,64.0,1381.25
Morocco,29,1.385,0.885,0.517,0.172,1.375,0.562,0.647,1.4,1.4,0.333,12.0,1669.44
Senegal,19,1.0,1.312,0.316,0.158,0.4,0.6,0.333,1.273,1.636,0.308,18.0,1623.34
South Africa,15,0.923,1.308,0.2,0.333,0.857,0.714,0.25,1.0,2.0,0.143,59.0,1416.66
Tunisia,23,1.0,1.05,0.348,0.261,0.714,1.0,0.333,1.154,1.077,0.357,41.0,1494.06
Curaçao,12,1.0,2.6,0.083,0.167,0.6,1.4,0.0,1.4,3.8,0.143,100.0,0.0
Haiti,14,0.727,2.0,0.143,0.0,0.875,2.0,0.222,0.333,2.0,0.0,86.0,1274.46
Panama,37,0.882,1.853,0.216,0.162,0.909,1.091,0.308,0.87,2.217,0.167,43.0,1482.1
Argentina,41,1.553,0.605,0.561,0.244,1.778,0.481,0.655,1.0,0.909,0.333,1.0,1860.14
Brazil,47,1.727,0.955,0.468,0.255,1.909,0.818,0.583,1.545,1.091,0.348,4.0,1791.85
Colombia,48,1.348,1.022,0.396,0.333,1.474,1.0,0.45,1.259,1.037,0.357,12.0,1669.44
Ecuador,44,0.881,0.833,0.227,0.477,1.538,0.615,0.4,0.586,0.931,0.138,30.0,1517.54
Paraguay,37,0.714,1.229,0.189,0.324,0.833,0.917,0.308,0.652,1.391,0.125,58.0,1427.11
Uruguay,46,1.114,0.932,0.348,0.326,0.882,0.471,0.333,1.259,1.222,0.357,14.0,1663.44
New Zealand,18,0.533,1.8,0.056,0.167,0.333,1.667,0.0,0.583,1.833,0.077,107.0,1197.68
Austria,28,1.64,1.24,0.357,0.25,1.769,1.154,0.357,1.5,1.333,0.357,25.0,1560.03
Belgium,26,1.391,1.348,0.346,0.192,1.182,1.273,0.385,1.583,1.417,0.308,3.0,1797.98
Bosnia and Herzegovina,18,0.533,2.467,0.0,0.222,0.429,1.857,0.0,0.625,3.0,0.0,75.0,1332.3
Croatia,40,1.351,1.514,0.35,0.2,1.5,1.429,0.333,1.261,1.565,0.36,9.0,1728.3
Czechia,0,,,0.0,0.0,,,,,,,34.0,1506.23
England,27,1.542,1.042,0.407,0.259,1.579,0.947,0.429,1.4,1.4,0.333,5.0,1787.88
France,45,1.81,0.976,0.556,0.222,2.235,0.765,0.579,1.52,1.12,0.538,2.0,1837.47
Germany,34,1.75,1.719,0.324,0.294,1.842,1.579,0.35,1.615,1.923,0.286,16.0,1646.78
Netherlands,36,1.758,1.273,0.333,0.361,1.913,1.261,0.36,1.4,1.3,0.273,7.0,1746.66
Norway,19,1.438,1.688,0.211,0.263,1.667,1.111,0.273,1.143,2.429,0.125,46.0,1466.48
Portugal,37,1.829,0.886,0.459,0.27,2.333,0.889,0.579,1.294,0.882,0.333,6.0,1747.04
Scotland,23,1.1,1.85,0.174,0.304,1.222,1.444,0.182,1.0,2.182,0.167,39.0,1497.18
Spain,41,1.667,1.051,0.415,0.39,1.9,1.05,0.476,1.421,1.053,0.35,8.0,1729.92
Sweden,26,1.261,2.0,0.269,0.077,1.5,1.667,0.462,1.0,2.364,0.077,28.0,1522.19
Switzerland,32,1.448,1.724,0.219,0.312,1.333,1.583,0.231,1.529,1.824,0.211,19.0,1617.24
Türkiye,0,,,0.0,0.0,,,,,,,100.0,0.0
