date,home_team,away_team,home_goals_scored_avg,home_goals_conceded_avg,home_win_rate,home_draw_rate,home_form_points,home_games_played,home_rank,away_goals_scored_avg,away_goals_conceded_avg,away_win_rate,away_draw_rate,away_form_points,away_games_played,away_rank,rank_diff,goal_avg_diff,form_diff,home_goals,away_goals,outcome
2014-01-07,Qatar,Jordan,1.2,1.2,0.33,0.33,1.0,0,103,1.2,1.2,0.33,0.33,1.0,0,65,-38,0.0,0.0,2,0,2
2014-01-29,Mexico,South Korea,1.2,1.2,0.33,0.33,1.0,0,21,1.2,1.2,0.33,0.33,1.0,0,100,79,0.0,0.0,4,0,2
2014-02-01,United States,South Korea,1.2,1.2,0.33,0.33,1.0,0,100,0.0,4.0,0.0,0.0,0.0,1,100,0,1.2,1.0,2,0,2
2014-03-05,Switzerland,Croatia,1.2,1.2,0.33,0.33,1.0,0,6,1.2,1.2,0.33,0.33,1.0,0,16,10,0.0,0.0,2,2,1
2014-03-05,Japan,New Zealand,1.2,1.2,0.33,0.33,1.0,0,50,1.2,1.2,0.33,0.33,1.0,0,89,39,0.0,0.0,4,2,2
2014-03-05,France,Netherlands,1.2,1.2,0.33,0.33,1.0,0,18,1.2,1.2,0.33,0.33,1.0,0,10,-8,0.0,0.0,2,0,2
2014-03-05,South Africa,Brazil,1.2,1.2,0.33,0.33,1.0,0,64,1.2,1.2,0.33,0.33,1.0,0,9,-55,0.0,0.0,0,5,0
2014-03-05,Bosnia and Herzegovina,Egypt,1.2,1.2,0.33,0.33,1.0,0,17,1.2,1.2,0.33,0.33,1.0,0,38,21,0.0,0.0,0,2,0
2014-03-05,Austria,Uruguay,1.2,1.2,0.33,0.33,1.0,0,43,1.2,1.2,0.33,0.33,1.0,0,7,-36,0.0,0.0,1,1,1
2014-03-05,Australia,Ecuador,1.2,1.2,0.33,0.33,1.0,0,53,1.2,1.2,0.33,0.33,1.0,0,24,-29,0.0,0.0,3,4,0
2014-03-05,Colombia,Tunisia,1.2,1.2,0.33,0.33,1.0,0,5,1.2,1.2,0.33,0.33,1.0,0,45,40,0.0,0.0,1,1,1
2014-05-17,Netherlands,Ecuador,0.0,2.0,0.0,0.0,0.0,1,15,4.0,3.0,1.0,0.0,3.0,1,28,13,-4.0,-3.0,1,1,1
2014-05-26,Australia,South Africa,3.0,4.0,0.0,0.0,0.0,1,59,0.0,5.0,0.0,0.0,0.0,1,65,6,3.0,0.0,1,1,1
2014-05-27,France,Norway,2.0,0.0,1.0,0.0,3.0,1,16,1.2,1.2,0.33,0.33,1.0,0,55,39,0.8,2.0,4,0,2
