team,group,played,won,drawn,lost,goals_for,goals_against,goal_diff,points
Mexico,A,3,1,2,1,3,2,1,5
South Africa,A,3,1,1,1,2,2,0,4
Czechia,A,3,0,3,0,0,0,0,3
South Korea,A,3,0,2,0,1,2,-1,2
Canada,B,3,3,0,3,8,1,7,9
Switzerland,B,3,1,1,1,5,4,1,4
Bosnia and Herzegovina,B,3,1,0,1,1,5,-4,3
Qatar,B,3,0,1,0,2,6,-4,1
Brazil,C,3,3,0,3,8,1,7,9
Morocco,C,3,2,0,2,7,2,5,6
Haiti,C,3,1,0,1,2,7,-5,3
Scotland,C,3,0,0,0,1,8,-7,0
United States,D,3,2,1,2,4,1,3,7
Paraguay,D,3,1,1,1,1,2,-1,4
Türkiye,D,3,0,3,0,0,0,0,3
Australia,D,3,0,1,0,1,3,-2,1
Germany,E,2,1,1,1,3,2,1,4
Côte d'Ivoire,E,2,0,2,0,0,0,0,2
Curaçao,E,2,0,1,0,2,3,-1,1
Japan,F,3,2,1,2,6,2,4,7
Netherlands,F,3,2,1,2,6,3,3,7
Tunisia,F,3,0,1,0,3,5,-2,1
Sweden,F,3,0,1,0,2,7,-5,1
Belgium,G,3,2,1,2,4,1,3,7
Egypt,G,3,2,0,2,5,2,3,6
Iran,G,3,1,1,1,4,3,1,4
New Zealand,G,3,0,0,0,0,7,-7,0
Spain,H,3,2,1,2,3,1,2,7
Uruguay,H,3,1,1,1,2,2,0,4
Cabo Verde,H,3,0,3,0,0,0,0,3
Saudi Arabia,H,3,0,1,0,0,2,-2,1
France,I,3,3,0,3,9,0,9,9
Iraq,I,3,1,1,1,2,4,-2,4
Senegal,I,3,1,1,1,1,3,-2,4
Norway,I,3,0,0,0,1,6,-5,0
Argentina,J,3,3,0,3,7,0,7,9
Algeria,J,3,2,0,2,5,3,2,6
Austria,J,3,1,0,1,4,5,-1,3
Jordan,J,3,0,0,0,1,9,-8,0
Portugal,K,3,2,1,2,5,1,4,7
Democratic Republic of Congo,K,3,0,3,0,0,0,0,3
Colombia,K,3,0,2,0,2,3,-1,2
Uzbekistan,K,3,0,2,0,1,4,-3,2
England,L,3,3,0,3,8,1,7,9
Croatia,L,3,2,0,2,7,3,4,6
Ghana,L,3,1,0,1,3,6,-3,3
Panama,L,3,0,0,0,1,9,-8,0
